damage_min,damage_max,essence_stones,lucky_hero_gear_chest,enhancement_xp_component_10,enhancement_xp_component_100,alliance_token,meat,wood,coal,iron
1,2500,1,1,2,0,5500,495500,495500,99000,25000
2501,5000,1,1,2,0,7000,991500,991500,198500,50000
5001,8000,1,1,2,0,8000,1400000,1400000,297500,75000
8001,12000,1,1,3,0,9000,1900000,1900000,396500,100000
12001,27500,1,1,3,0,10000,2400000,2400000,495500,125000
27501,62500,1,1,4,0,14500,4300000,4300000,867500,218500
62501,145000,2,1,4,0,18500,6100000,6100000,1200000,312500
145001,325000,2,1,5,0,22000,8000000,8000000,1600000,406000
325001,745000,3,1,6,0,26000,9900000,9900000,1900000,499500
745001,1700000,3,2,7,0,30000,11700000,11700000,2300000,593500
1700001,3900000,4,2,8,0,35000,13800000,13800000,2700000,687000
3900001,8900000,5,2,9,0,40000,15400000,15400000,3000000,781000
8900001,20500000,6,2,0,1,43000,17300000,17300000,3400000,874500
20500001,47000000,7,2,0,1,47000,19200000,19200000,3800000,968500
47000001,90000000,8,2,0,1,50000,21000000,21000000,4200000,1000000
90000001,175000000,9,2,0,2,55000,23200000,23200000,4600000,1100000
175000001,330000000,10,2,0,2,60000,25500000,25500000,5100000,1200000
330000001,635000000,11,2,0,2,65000,27700000,27700000,5500000,1300000
635000001,1200000000,12,2,0,3,70000,29900000,29900000,5900000,1500000
1200000001,2400000000,13,3,0,3,75600,32200000,32200000,6400000,1600000
2400000001,4800000000,14,3,0,4,80000,34100000,34100000,6800000,1700000
4800000001,9600000000,15,3,0,4,85000,35800000,35800000,7100000,1700000
9600000001,19200000000,16,3,0,5,90000,37500000,37500000,7500000,1800000
19200000001,38400000000,17,3,0,5,95000,39400000,39400000,7800000,1900000
38400000001,999999999999,18,3,0,6,100000,41400000,41400000,8200000,2000000
