Expert,Skill,Level,Exp,Book,Relationship
Agnes,1,1,0,0,Acquaintance 1
Agnes,1,2,43200,500,Acquaintance 1
Agnes,1,3,86400,1000,Acquaintance 3
Agnes,1,4,172800,2000,Acquaintance 3
Agnes,1,5,345600,4000,Casual 2
Agnes,2,1,0,0,Acquaintance 2
Agnes,2,2,34200,400,Acquaintance 2
Agnes,2,3,69000,800,Casual 1
Agnes,2,4,138000,1600,Casual 1
Agnes,2,5,276000,3200,Casual 3
Agnes,3,1,0,0,Acquaintance 3
Agnes,3,2,13800,200,Acquaintance 3
Agnes,3,3,27600,400,Total Skills: Lv 8.
Agnes,3,4,55200,800,Total Skills: Lv. 8
Agnes,3,5,110400,1600,Total Skills: Lv. 12
Agnes,4,1,0,0,Casual 1
Agnes,4,2,10200,100,Casual 1
Agnes,4,3,20400,200,Casual 1
Agnes,4,4,30600,300,Casual 1
Agnes,4,5,41400,400,Total Skills: Lv. 15
Agnes,4,6,51600,500,Total Skills: Lv. 15
Agnes,4,7,61800,600,Total Skills: Lv. 15
Agnes,4,8,72600,700,Total Skills: Lv. 20
Agnes,4,9,82800,800,Total Skills: Lv. 20
Agnes,4,10,93000,900,Total Skills: Lv. 24
Cyrille,1,1,0,0,Stranger
Cyrille,1,2,3600,70,Stranger
Cyrille,1,3,7200,140,Stranger
Cyrille,1,4,10800,210,Acquaintance 3
Cyrille,1,5,14400,280,Acquaintance 3
Cyrille,1,6,18000,350,Acquaintance 3
Cyrille,1,7,21600,420,Acquaintance 3
Cyrille,1,8,25200,490,Casual 2
Cyrille,1,9,28800,560,Casual 2
Cyrille,1,10,32400,630,Close 1
Cyrille,2,1,0,0,Acquaintance 2
Cyrille,2,2,27600,400,Acquaintance 2
Cyrille,2,3,55200,800,Casual 1
Cyrille,2,4,110400,1600,Casual 1
Cyrille,2,5,220800,3200,Close 2
Cyrille,3,1,0,0,Acquaintance 3
Cyrille,3,2,43200,500,Acquaintance 3
