Tier,Stars,design plans,hardened alloy,polishing compound,lunar amber,Troops Deployment Capacity Bonus,stat total,power total
green (uncommon),0,0,1500,15,0,0,9.35%,224400
green (uncommon),1,0,3800,40,0,0,12.75,306000
Blue (Rare),0,0,7000,70,0,0,17.00%,408000
Blue (Rare),1,0,9700,95,0,0,21.25%,510000
Blue (Rare),2,45,0,0,0,0,25.50%,612000
Blue (Rare),3,50,0,0,0,0,29.75%,714000
Purple (Epic),0,60,0,0,0,0,34.00%,816000
Purple (Epic),1,70,0,0,0,0,36.89%,885360
Purple (Epic),2,40,6500,65,0,0,39.78%,954720
Purple (Epic),3,50,8000,80,0,0,42.67%,1024080
Purple (Epic) T1,0,60,10000,95,0,0,45.56%,1093440
Purple (Epic) T1,1,70,11000,110,0,0,48.45%,1162800
Purple (Epic) T1,2,85,13000,130,0,0,51.34%,1232160
Purple (Epic) T1,3,100,15000,160,0,0,54.23%,1301520
Gold (Mythic),0,40,22000,220,0,0,56.78%,1362720
Gold (Mythic),1,40,23000,230,0,0,59.33%,1423920
Gold (Mythic),2,45,25000,250,0,0,61.88%,1485120
Gold (Mythic),3,45,26000,260,0,0,64.43%,1546320
Gold (Mythic) T1,0,45,28000,280,0,0,66.98%,1607520
Gold (Mythic) T1,1,55,30000,300,0,0,69.53%,1668720
Gold (Mythic) T1,2,55,32000,320,0,0,72.08%,1729920
Gold (Mythic) T1,3,55,35000,340,0,0,74.63%,1791120
Gold (Mythic) T2,0,55,38000,360,0,0,77.18%,1852320
Gold (Mythic) T2,1,75,43000,430,0,0,79.73%,1913520
Gold (Mythic) T2,2,80,45000,460,0,0,82.28%,1974720
Gold (Mythic) T2,3,85,48000,500,0,0,85.00%,2040000
Red (Legendary),0,85,50000,530,10,40,89.25%,2142000
Red (Legendary),1,90,52000,560,10,80,93.50%,2244000
Red (Legendary),2,95,54000,590,10,120,97.75%,2346000
Red (Legendary),3,100,56000,620,10,160,102.00%,2448000
Red (Legendary) T1,0,110,59000,670,15,290,106.25%,2550000
Red (Legendary) T1,1,115,61000,700,15,330,110.50%,2652000
Red (Legendary) T1,2,120,63000,730,15,370,114.75%,2754000
Red (Legendary) T1,3,125,65000,760,15,410,119.00%,2856000
Red (Legendary) T2,0,135,68000,810,20,540,123.25%,2958000
Red (Legendary) T2,1,140,70000,840,20,580,127.50%,3060000
Red (Legendary) T2,2,145,72000,870,20,620,131.75%,3162000
Red (Legendary) T2,3,150,74000,900,20,660,136.00%,3264000
Red (Legendary) T3,0,160,77000,950,25,790,140.25%,3366000
Red (Legendary) T3,1,165,80000,990,25,830,144.50%,3468000
Red (Legendary) T3,2,170,83000,1030,25,870,148.75%,3570000
Red (Legendary) T3 ,3,180,86000,1070,25,910,153.00%,3672000
Red (Legendary) T4,0,250,120000,1500,40,1050,161.50%,3876000
Red (Legendary) T4,1,275,140000,1650,40,1100,170.00%,4080000
Red (Legendary) T4,2,300,160000,1800,40,1150,178.50%,4284000
Red (Legendary) T4,3,325,180000,1950,40,1200,187.00%,4488000
