Level,Charm Designs,Charm Guides,Jewel Secrets,Stat Bonus,Power,SVS Points
1,5,5,-,9%,205700,625
2,15,40,-,12%,288000,1250
3,40,60,-,16%,370000,3125
4,100,80,-,19%,452000,8750
5,200,100,-,25%,576000,11250
6,300,120,-,30%,700000,12500
7,400,140,-,35%,824000,12500
8,400,200,-,40%,948000,13000
9,400,300,-,45%,1072000,14000
10,420,420,-,50%,1196000,15000
11,420,560,-,55%,1320000,16000
12,450,580,15,64%,1444000,17000
13,450,580,30,73%,1568000,18000
14,500,600,45,82%,1692000,19000
15,500,600,70,91%,1816000,20000
16,550,650,100,100%,1940000,21000
